No. of Characters,No. of Words,No. of Paragraphs,No. of Unique words,No. of Noun,No. of Adv,No. of Verb,No. of Adverb,Score
1538,338,1,56,83,18,74,24,7
1870,419,1,51,107,19,85,19,8
1263,279,1,50,82,20,52,16,6
2642,524,1,62,178,42,97,29,8
2105,465,1,49,114,32,90,36,7
1031,246,1,50,53,12,49,17,7
2310,499,1,48,136,31,80,38,8
2243,482,1,54,133,32,112,29,8
1960,443,1,55,110,32,86,30,8
2131,502,1,51,109,40,112,37,8
1639,325,1,49,88,31,70,20,7
1791,392,1,45,102,39,84,29,7
804,204,1,37,43,17,43,7,6
1311,307,1,32,81,35,57,12,5
816,176,1,38,57,15,30,10,5
2641,528,1,55,168,39,103,23,10
1470,335,1,44,71,19,74,23,7
1594,366,1,48,79,24,77,38,7
297,66,1,27,25,5,14,1,3
713,156,1,40,52,14,27,9,5
1683,367,1,46,83,27,75,39,7
262,56,1,31,20,2,8,1,3
2358,521,1,54,130,33,96,24,8
2658,559,1,59,157,48,104,34,9
1381,293,1,43,79,19,59,12,7
1645,360,1,51,101,19,75,15,8
531,120,1,37,32,10,24,8,3
1687,360,1,47,95,33,74,20,8
1692,371,1,49,94,24,75,22,8
1165,257,1,41,63,21,70,12,7
2132,472,1,55,117,38,92,39,8
2277,492,1,56,140,28,102,33,8
751,167,1,46,49,16,30,9,5
1517,362,1,46,104,25,70,21,7
1871,413,1,50,96,31,94,21,8
2474,542,1,59,125,46,105,34,8
2167,488,1,50,117,44,103,25,10
1516,353,1,42,78,23,71,18,7
1943,445,1,46,119,29,80,29,8
833,190,1,47,57,10,42,0,6
180,41,1,27,12,2,8,1,2
1201,282,1,44,63,21,51,19,7
637,140,1,40,37,10,28,5,5
1324,313,1,47,101,18,59,19,7
1389,322,1,47,94,22,47,24,7
1333,298,1,40,76,17,75,7,7
1330,314,1,46,87,20,54,27,7
2309,544,1,53,127,33,101,48,9
1489,315,1,40,80,24,55,22,5
390,83,1,28,21,8,13,8,4
2221,571,1,44,92,30,123,47,8
1083,241,1,42,65,17,48,13,6
1791,424,1,50,88,14,98,31,7
1886,415,1,53,118,28,80,30,8
1127,237,1,46,58,15,40,24,7
2409,469,1,47,133,33,89,24,8
1433,291,1,48,81,31,63,13,8
882,197,1,46,43,12,41,13,6
2030,442,1,49,111,34,84,18,7
344,68,1,36,23,7,14,0,3
1381,301,1,41,75,24,68,26,7
1218,283,1,46,73,23,72,6,7
1305,290,1,45,65,17,56,13,7
899,217,1,36,52,6,45,15,6
1901,414,1,45,88,28,90,33,8
1744,371,1,45,84,22,82,30,8
1336,293,1,43,83,20,56,23,7
1830,390,1,51,100,27,90,33,8
1016,241,1,46,53,14,55,15,6
2113,422,1,61,127,33,69,26,10
1955,447,1,48,120,13,87,22,8
2695,527,1,52,131,48,122,30,8
1778,386,1,56,105,30,69,29,7
1363,297,1,40,81,18,71,28,6
1703,348,1,44,95,41,70,22,7
1498,298,1,51,110,18,60,20,7
2494,522,1,54,147,42,123,34,8
1953,420,1,56,136,24,72,34,8
1641,381,1,47,101,23,67,17,8
1933,408,1,54,114,42,85,34,7
1562,363,1,47,82,35,77,12,7
1377,281,1,47,73,16,58,18,7
877,208,1,36,41,15,48,11,6
801,202,1,37,42,7,38,12,5
2470,543,1,49,110,53,115,38,8
2095,419,1,48,145,46,66,21,7
1940,414,1,54,102,38,81,35,8
1796,441,1,46,79,26,96,45,8
1035,232,1,31,61,9,50,7,5
1011,229,1,49,61,16,45,10,6
1048,232,1,41,66,11,42,23,7
2858,651,1,65,162,41,137,33,9
2682,539,1,55,184,37,82,29,9
1372,313,1,48,72,19,71,22,7
2012,462,1,61,101,28,93,34,8
1049,230,1,48,68,14,42,13,6
1387,294,1,51,84,22,63,17,7
1952,411,1,56,115,25,95,34,9
1572,348,1,60,102,18,75,15,7
953,234,1,50,64,23,48,5,6
2165,467,1,55,126,30,96,42,8
1455,330,1,47,75,19,72,16,7
1744,393,1,56,94,30,78,24,8
1851,401,1,45,108,18,98,26,8
2312,537,1,50,136,30,111,38,8
1751,361,1,51,92,28,80,22,9
3034,631,1,56,178,43,126,32,8
1609,366,1,50,97,27,76,25,7
1463,348,1,43,77,20,70,26,7
1036,236,1,46,66,24,41,15,5
2668,549,1,59,155,43,112,33,9
1851,410,1,58,115,23,82,26,8
1502,328,1,47,89,17,71,29,7
1915,407,1,52,103,23,84,27,7
2051,508,1,63,110,29,109,48,8
267,53,1,27,15,4,11,6,3
1437,319,1,47,74,26,65,25,7
2197,435,1,58,153,31,70,23,10
2097,485,1,55,106,33,111,39,8
1564,373,1,50,82,26,76,26,7
1528,370,1,53,96,24,69,25,7
2449,533,1,54,157,36,100,35,8
1857,411,1,43,98,24,90,25,8
1084,273,1,39,53,14,56,12,6
712,175,1,27,32,11,48,10,4
1221,280,1,44,65,16,57,18,7
1829,402,1,41,98,28,75,27,8
1861,406,1,49,99,23,81,34,8
1744,416,1,52,100,18,80,35,8
2836,603,1,47,158,57,111,24,8
2002,420,1,56,126,32,87,28,8
2190,425,1,56,138,30,79,30,9
2227,507,1,57,130,47,97,37,8
1811,400,1,42,99,27,84,29,8
1188,261,1,45,72,10,56,15,6
2356,542,1,57,142,23,128,53,8
1054,243,1,39,74,14,40,9,6
1913,401,1,49,118,30,71,17,8
766,180,1,42,44,7,37,14,6
1680,360,1,44,90,33,75,23,8
2591,575,1,55,141,33,120,41,8
1930,381,1,52,90,24,84,31,8
1284,303,1,47,85,18,61,21,6
1898,441,1,43,111,24,96,23,8
1918,362,1,45,103,29,72,24,8
785,185,1,47,45,11,32,12,5
2826,595,1,54,168,49,117,35,10
1342,306,1,40,79,25,59,22,8
1891,436,1,42,110,40,79,10,7
1342,303,1,50,103,14,48,15,7
1022,245,1,34,53,10,53,18,7
858,172,1,37,53,18,34,3,5
2134,489,1,50,106,36,105,35,8
2019,423,1,53,111,29,79,31,10
2017,437,1,51,123,38,90,30,8
1444,333,1,48,78,26,61,26,7
2115,449,1,57,137,34,87,26,8
1756,353,1,49,109,28,58,27,8
2206,462,1,54,126,39,96,28,8
1258,273,1,38,71,36,65,13,7
1925,417,1,56,120,23,84,18,8
2535,534,1,57,145,28,104,38,10
1151,232,1,41,76,18,53,12,7
1223,245,1,39,77,25,46,16,7
1793,372,1,55,103,33,79,19,8
2547,537,1,61,144,55,108,34,8
1395,331,1,55,73,29,60,21,7
2155,447,1,48,111,48,79,33,8
784,150,1,45,44,12,28,7,5
1472,335,1,54,73,25,68,25,7
1303,322,1,38,65,25,61,25,7
1092,255,1,46,52,17,48,18,7
1144,256,1,41,66,17,44,16,7
1501,349,1,44,89,21,81,20,7
1545,330,1,53,85,27,63,17,7
1751,381,1,44,92,26,90,31,8
1287,326,1,43,73,23,64,14,7
1342,268,1,53,95,15,43,13,7
